   Compiling btc5m-bot v0.1.0 (/Users/azharuddinarrosis/Developments/poly/btc5m-v02/bot)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 3.52s
     Running `target/debug/btc5m-bot`
[INIT] No state.json found, starting fresh
BTC 5m Forward Bot API running on http://0.0.0.0:8082
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-838s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-238s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-538s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-838s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-237s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-537s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-837s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-237s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-537s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-837s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-236s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-536s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-836s | ACTIVE
